# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.25        7245618.78
2                      14.77        7386922.38
4                      31.44        7859850.03
8                      61.77        7721862.38
16                    119.36        7460042.15
32                    241.95        7561034.68
64                    481.00        7515612.22
128                   917.23        7165850.24
256                  1792.58        7002253.30
512                  3077.88        6011493.98
1024                 5881.04        5743204.29
2048                 9729.29        4750628.73
4096                 8474.97        2069084.00
8192                13497.95        1647698.65
16384               22557.53        1376802.64
32768               28330.93         864591.23
65536               31936.06         487305.67
131072              33496.28         255556.34
262144              35501.79         135428.57
524288              36254.93          69150.79
1048576             37210.74          35486.93
2097152             35454.28          16905.92
4194304             35281.30           8411.72
