# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.76
2                      17.49
4                      34.39
8                      69.13
16                    137.05
32                    273.62
64                    552.20
128                  1064.31
256                  1972.74
512                  2820.31
1024                 5585.03
2048                 9046.47
4096                 8411.78
8192                13369.22
16384               21980.74
32768               28461.46
65536               31868.39
131072              34063.93
262144              34219.60
524288              34752.20
1048576             35199.80
2097152             35326.13
4194304             35099.20
