# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.80        7796432.23
2                      14.88        7437664.24
4                      30.97        7743362.70
8                      62.11        7764239.83
16                    129.52        8094820.71
32                    259.78        8118139.22
64                    519.42        8115968.05
128                   994.90        7772691.52
256                  1842.48        7197194.35
512                  3064.62        5985594.54
1024                 5889.24        5751210.02
2048                 9724.29        4748190.48
4096                 8409.31        2053053.01
8192                13666.62        1668289.08
16384               22146.91        1351739.83
32768               28384.43         866224.19
65536               32223.73         491695.06
131072              33380.38         254672.07
262144              34228.56         130571.58
524288              34770.96          66320.35
1048576             36487.63          34797.32
2097152             35398.58          16879.36
4194304             35212.27           8395.26
