# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.82        7816907.51
2                      14.87        7435764.00
4                      31.34        7834009.10
8                      63.86        7983066.92
16                    127.11        7944608.21
32                    259.86        8120472.28
64                    514.79        8043603.37
128                   989.76        7732474.74
256                  1836.14        7172439.45
512                  2923.99        5710925.96
1024                 5819.53        5683139.57
2048                 9291.91        4537065.81
4096                 8446.60        2062157.75
8192                13712.75        1673919.58
16384               22147.46        1351773.70
32768               28378.51         866043.44
65536               31814.84         485455.89
131072              33560.69         256047.76
262144              34893.17         133106.88
524288              36629.19          69864.63
1048576             36953.14          35241.26
2097152             35447.10          16902.50
4194304             35082.70           8364.37
