# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.45        7453212.75
2                      14.84        7421286.24
4                      30.10        7524604.87
8                      59.28        7409705.79
16                    117.45        7340813.32
32                    238.25        7445358.05
64                    480.86        7513400.27
128                   914.17        7141964.40
256                  1799.11        7027785.78
512                  2985.30        5830672.71
1024                 5780.93        5645442.07
2048                 9528.26        4652472.31
4096                 8313.55        2029674.41
8192                13601.23        1660307.00
16384               22078.62        1347571.78
32768               28322.95         864347.82
65536               31830.14         485689.36
131072              33293.29         254007.65
262144              34246.22         130638.96
524288              36130.54          68913.54
1048576             36591.40          34896.28
2097152             35272.86          16819.41
4194304             35236.60           8401.06
