# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.28
8                       0.28
16                      0.28
32                      0.30
64                      0.28
128                     0.29
256                     0.33
512                     0.32
1024                    0.32
2048                    0.39
4096                    0.81
8192                    1.11
16384                   1.67
32768                   2.74
65536                   4.17
131072                  6.75
262144                 12.85
524288                 25.49
1048576                49.78
2097152               104.44
4194304               257.44
