# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.28
8                       0.28
16                      0.28
32                      0.29
64                      0.28
128                     0.28
256                     0.32
512                     0.33
1024                    0.33
2048                    0.38
4096                    0.81
8192                    1.11
16384                   1.68
32768                   2.75
65536                   4.15
131072                  6.68
262144                 12.85
524288                 25.57
1048576                49.83
2097152               104.35
4194304               261.14
