# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.53
2                      10.97
4                      22.12
8                      44.18
16                     88.72
32                    176.86
64                    353.40
128                   690.10
256                  1363.82
512                  1808.86
1024                 3590.56
2048                 6420.14
4096                 5585.24
8192                 9990.74
16384               16221.57
32768               23340.50
65536               25619.37
131072              27530.97
262144              28108.81
524288              28705.70
1048576             28950.86
2097152             29154.67
4194304             29065.48
