# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.29
4                       0.30
8                       0.28
16                      0.28
32                      0.30
64                      0.29
128                     0.28
256                     0.32
512                     0.34
1024                    0.33
2048                    0.39
4096                    0.79
8192                    1.10
16384                   1.69
32768                   2.73
65536                   4.17
131072                  6.73
262144                 12.83
524288                 25.51
1048576                49.68
2097152               104.28
4194304               265.27
