# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.80
2                      17.53
4                      34.60
8                      69.40
16                    137.70
32                    276.65
64                    554.93
128                  1072.64
256                  1949.15
512                  2799.46
1024                 5507.19
2048                 9065.76
4096                 8349.23
8192                13350.58
16384               21844.24
32768               28359.49
65536               31891.97
131072              33313.99
262144              34100.77
524288              34848.47
1048576             35199.31
2097152             35336.93
4194304             35127.89
