# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.56
2                      11.02
4                      22.33
8                      44.56
16                     88.93
32                    177.13
64                    352.97
128                   691.20
256                  1372.68
512                  1808.86
1024                 3588.41
2048                 6448.82
4096                 5353.53
8192                 9074.83
16384               15554.98
32768               23437.50
65536               26638.01
131072              27773.16
262144              28165.01
524288              28692.70
1048576             28923.63
2097152             31821.56
4194304             29026.58
