# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.27
4                       0.28
8                       0.28
16                      0.27
32                      0.30
64                      0.29
128                     0.27
256                     0.31
512                     0.33
1024                    0.34
2048                    0.39
4096                    0.79
8192                    1.10
16384                   1.68
32768                   2.76
65536                   4.18
131072                  6.73
262144                 12.84
524288                 25.52
1048576                49.84
2097152               103.65
4194304               262.26
