# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.61        7607287.12
2                      15.14        7568313.79
4                      30.05        7512383.40
8                      59.55        7443540.45
16                    118.28        7392407.84
32                    244.26        7633250.92
64                    475.28        7426235.15
128                   891.97        6968528.82
256                  1820.41        7110990.22
512                  3052.56        5962022.11
1024                 5871.91        5734285.06
2048                 9736.26        4754031.60
4096                 8514.55        2078747.37
8192                13515.40        1649828.53
16384               22640.33        1381855.91
32768               28123.09         858248.47
65536               31856.29         486088.42
131072              33318.84         254202.57
262144              34240.67         130617.78
524288              35001.62          66760.29
1048576             37086.67          35368.61
2097152             35362.46          16862.14
4194304             35155.13           8381.64
