# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.49
2                      11.06
4                      22.23
8                      44.24
16                     88.73
32                    178.16
64                    355.83
128                   693.99
256                  1375.14
512                  1817.54
1024                 3594.59
2048                 6411.24
4096                 5504.27
8192                 9653.84
16384               15924.11
32768               23304.61
65536               25887.92
131072              27701.41
262144              28110.93
524288              30049.41
1048576             31189.44
2097152             28998.25
4194304             28983.10
