# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.29
4                       0.28
8                       0.28
16                      0.28
32                      0.28
64                      0.29
128                     0.30
256                     0.31
512                     0.31
1024                    0.34
2048                    0.40
4096                    0.80
8192                    1.10
16384                   1.70
32768                   2.72
65536                   4.19
131072                  6.64
262144                 12.72
524288                 25.47
1048576                49.82
2097152               103.60
4194304               257.33
