# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.30
2                       0.27
4                       0.29
8                       0.28
16                      0.28
32                      0.30
64                      0.30
128                     0.28
256                     0.31
512                     0.33
1024                    0.34
2048                    0.39
4096                    0.80
8192                    1.10
16384                   1.67
32768                   2.75
65536                   4.18
131072                  6.72
262144                 12.83
524288                 25.45
1048576                49.67
2097152               104.00
4194304               256.65
