# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.33
2                       0.31
4                       0.33
8                       0.33
16                      0.31
32                      0.31
64                      0.31
128                     0.35
256                     0.34
512                     0.37
1024                    0.39
2048                    0.48
4096                    1.06
8192                    1.35
16384                   1.84
32768                   2.93
65536                   4.44
131072                  7.50
262144                 14.31
524288                 28.36
1048576                56.17
2097152               118.45
4194304               269.12
