# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.32
2                       0.31
4                       0.33
8                       0.34
16                      0.32
32                      0.30
64                      0.32
128                     0.34
256                     0.34
512                     0.37
1024                    0.40
2048                    0.46
4096                    1.06
8192                    1.32
16384                   1.88
32768                   2.93
65536                   4.50
131072                  7.32
262144                 14.47
524288                 28.32
1048576                56.09
2097152               117.68
4194304               262.76
