# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.30
4                       0.29
8                       0.28
16                      0.28
32                      0.28
64                      0.28
128                     0.29
256                     0.32
512                     0.31
1024                    0.34
2048                    0.39
4096                    0.79
8192                    1.11
16384                   1.68
32768                   2.75
65536                   4.14
131072                  6.71
262144                 12.82
524288                 25.50
1048576                49.72
2097152               103.24
4194304               257.69
