# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.05        7047254.37
2                      14.67        7333120.52
4                      29.76        7440570.48
8                      60.63        7578229.83
16                    118.53        7408415.78
32                    246.98        7718033.23
64                    485.42        7584633.25
128                   938.03        7328372.10
256                  1834.11        7164480.92
512                  3037.34        5932311.40
1024                 5857.22        5719941.82
2048                 9662.41        4717974.59
4096                 8446.66        2062173.63
8192                13647.29        1665929.23
16384               22769.96        1389767.84
32768               28437.64         867847.96
65536               31933.82         487271.48
131072              33434.27         255083.23
262144              34215.38         130521.30
524288              35024.69          66804.30
1048576             36934.11          35223.12
2097152             35370.22          16865.83
4194304             35195.35           8391.23
