# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.34
8                       0.33
16                      0.31
32                      0.31
64                      0.33
128                     0.36
256                     0.32
512                     0.37
1024                    0.39
2048                    0.46
4096                    1.08
8192                    1.33
16384                   1.85
32768                   2.93
65536                   4.47
131072                  7.42
262144                 14.16
524288                 28.20
1048576                56.11
2097152               117.94
4194304               264.79
