# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.85
2                      17.59
4                      34.71
8                      69.71
16                    137.88
32                    275.69
64                    555.11
128                  1069.89
256                  1973.64
512                  2847.81
1024                 5573.98
2048                 9092.13
4096                 8372.74
8192                13455.96
16384               21886.10
32768               28465.06
65536               32004.60
131072              33438.80
262144              34384.78
524288              34898.53
1048576             35252.05
2097152             35340.14
4194304             35101.84
