# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.67        4673098.51
2                       9.38        4688599.35
4                      19.26        4814303.66
8                      38.52        4815358.47
16                     77.38        4836148.64
32                    155.61        4862668.74
64                    300.73        4698934.49
128                   574.18        4485795.69
256                  1126.92        4402025.43
512                  1800.87        3517329.22
1024                 3441.01        3360356.55
2048                 6061.68        2959803.10
4096                 5471.78        1335882.81
8192                 9659.88        1179184.42
16384               15861.67         968119.29
32768               22267.85         679560.75
65536               25785.10         393449.45
131072              27705.71         211377.76
262144              28074.91         107097.27
524288              30143.35          57493.88
1048576             31841.81          30366.72
2097152             28827.09          13745.83
4194304             28749.12           6854.32
