# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.52
2                      11.02
4                      22.08
8                      44.14
16                     88.64
32                    176.71
64                    353.13
128                   688.74
256                  1365.27
512                  1800.63
1024                 3574.96
2048                 6371.85
4096                 5642.32
8192                10176.38
16384               16549.32
32768               23604.94
65536               26715.80
131072              27827.39
262144              28232.83
524288              28704.72
1048576             28934.39
2097152             29126.65
4194304             29065.98
