# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.31
4                       0.30
8                       0.29
16                      0.28
32                      0.29
64                      0.28
128                     0.28
256                     0.32
512                     0.32
1024                    0.32
2048                    0.40
4096                    0.80
8192                    1.11
16384                   1.69
32768                   2.77
65536                   4.06
131072                  6.43
262144                 12.80
524288                 25.50
1048576                49.81
2097152               104.48
4194304               260.19
