# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.27
4                       0.29
8                       0.28
16                      0.29
32                      0.29
64                      0.28
128                     0.30
256                     0.33
512                     0.31
1024                    0.33
2048                    0.40
4096                    0.80
8192                    1.10
16384                   1.69
32768                   2.74
65536                   4.14
131072                  6.67
262144                 12.75
524288                 25.47
1048576                49.89
2097152               105.01
4194304               259.36
