# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.89
2                      17.77
4                      32.57
8                      66.86
16                    135.29
32                    275.36
64                    549.03
128                   927.45
256                  1803.95
512                  2978.86
1024                 5609.20
2048                 9034.24
4096                 8256.81
8192                13333.51
16384               21842.73
32768               28215.43
65536               31646.32
131072              33328.06
262144              34497.86
524288              36257.14
1048576             36812.48
2097152             36853.19
4194304             35001.51
