# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.64        4635656.59
2                       9.33        4663472.53
4                      18.94        4736099.71
8                      38.30        4787395.51
16                     76.95        4809348.41
32                    153.93        4810250.28
64                    297.91        4654884.33
128                   563.52        4402480.25
256                  1094.59        4275752.64
512                  1794.01        3503917.35
1024                 3467.11        3385847.30
2048                 5998.61        2929010.44
4096                 5387.09        1315206.91
8192                 9142.11        1115980.27
16384               15341.47         936368.86
32768               22476.83         685938.36
65536               25757.82         393033.10
131072              27816.47         212222.83
262144              28270.31         107842.68
524288              28594.84          54540.32
1048576             31823.70          30349.45
2097152             28788.68          13727.51
4194304             28737.42           6851.54
