# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.33
2                       0.31
4                       0.32
8                       0.33
16                      0.33
32                      0.31
64                      0.31
128                     0.34
256                     0.35
512                     0.38
1024                    0.38
2048                    0.47
4096                    1.06
8192                    1.34
16384                   1.85
32768                   2.93
65536                   4.45
131072                  7.56
262144                 14.30
524288                 28.44
1048576                56.06
2097152               118.24
4194304               262.24
