# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.33
4                       0.31
8                       0.34
16                      0.32
32                      0.31
64                      0.30
128                     0.35
256                     0.34
512                     0.37
1024                    0.41
2048                    0.49
4096                    1.06
8192                    1.32
16384                   1.87
32768                   2.93
65536                   4.37
131072                  7.12
262144                 14.16
524288                 28.31
1048576                56.08
2097152               117.97
4194304               265.25
