# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.29
4                       0.29
8                       0.30
16                      0.28
32                      0.29
64                      0.28
128                     0.29
256                     0.31
512                     0.32
1024                    0.32
2048                    0.39
4096                    0.80
8192                    1.11
16384                   1.67
32768                   2.75
65536                   4.14
131072                  6.55
262144                 12.70
524288                 25.42
1048576                49.52
2097152               103.03
4194304               258.92
