# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.78
2                      17.52
4                      34.64
8                      68.84
16                    137.82
32                    274.34
64                    553.06
128                  1075.09
256                  1950.86
512                  2813.94
1024                 5567.58
2048                 8998.79
4096                 8372.30
8192                13314.75
16384               21950.98
32768               28328.54
65536               31978.01
131072              33487.85
262144              35775.15
524288              36378.19
1048576             35038.58
2097152             35120.63
4194304             34949.79
