# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.64        4638615.61
2                       9.40        4698039.74
4                      19.27        4817412.54
8                      38.52        4814539.79
16                     77.53        4845859.27
32                    155.71        4865876.30
64                    300.31        4692291.27
128                   566.29        4424135.82
256                  1112.92        4347360.34
512                  1805.15        3525675.65
1024                 3448.39        3367573.13
2048                 6059.43        2958704.35
4096                 5467.36        1334805.71
8192                 9634.54        1176090.89
16384               15860.37         968040.27
32768               22371.72         682730.79
65536               25819.63         393976.31
131072              27763.36         211817.65
262144              28259.77         107802.46
524288              28630.93          54609.16
1048576             30053.76          28661.50
2097152             28816.54          13740.80
4194304             28897.50           6889.70
