# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.51
2                      10.93
4                      22.37
8                      44.64
16                     88.79
32                    176.87
64                    353.33
128                   688.32
256                  1367.75
512                  1801.94
1024                 3583.21
2048                 6435.93
4096                 5562.30
8192                 9967.66
16384               16357.82
32768               23359.53
65536               25758.00
131072              27808.09
262144              28233.27
524288              28717.38
1048576             28975.67
2097152             29130.91
4194304             29050.68
