# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.77
2                      17.49
4                      34.69
8                      69.43
16                    137.46
32                    276.30
64                    555.25
128                  1065.00
256                  1952.39
512                  2816.60
1024                 5554.35
2048                 9050.16
4096                 8336.51
8192                13458.44
16384               21924.36
32768               28445.61
65536               31975.98
131072              33355.48
262144              34320.72
524288              34828.16
1048576             35198.49
2097152             35342.14
4194304             35076.51
