# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.26        7264675.04
2                      15.10        7551052.19
4                      30.11        7528023.95
8                      60.77        7596624.91
16                    122.31        7644683.70
32                    239.05        7470208.17
64                    465.79        7278019.55
128                   913.16        7134027.19
256                  1865.63        7287609.73
512                  2952.20        5766024.98
1024                 5834.40        5697653.65
2048                 9290.76        4536502.69
4096                 8478.25        2069886.01
8192                13703.05        1672736.04
16384               22093.77        1348496.73
32768               28424.85         867457.60
65536               31810.58         485390.94
131072              33290.45         253986.01
262144              34272.66         130739.83
524288              36149.04          68948.82
1048576             36423.13          34735.80
2097152             35324.73          16844.14
4194304             35043.71           8355.07
