# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.48
2                      10.99
4                      22.13
8                      44.44
16                     88.46
32                    178.00
64                    352.23
128                   694.37
256                  1371.30
512                  1812.79
1024                 3586.32
2048                 6414.52
4096                 5578.87
8192                 9971.54
16384               16204.05
32768               23268.93
65536               26642.42
131072              27818.37
262144              28309.73
524288              28710.50
1048576             30847.21
2097152             31135.73
4194304             29040.75
