# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.31
8                       0.32
16                      0.36
32                      0.31
64                      0.31
128                     0.35
256                     0.34
512                     0.37
1024                    0.41
2048                    0.48
4096                    1.07
8192                    1.33
16384                   1.87
32768                   2.92
65536                   4.48
131072                  7.24
262144                 14.23
524288                 28.43
1048576                56.12
2097152               117.93
4194304               263.03
