# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.30
2                       0.28
4                       0.29
8                       0.28
16                      0.28
32                      0.29
64                      0.29
128                     0.28
256                     0.31
512                     0.33
1024                    0.34
2048                    0.39
4096                    0.79
8192                    1.11
16384                   1.69
32768                   2.74
65536                   4.14
131072                  6.75
262144                 12.78
524288                 25.39
1048576                49.58
2097152               103.16
4194304               258.73
