# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.65        4648588.50
2                       9.36        4681595.54
4                      18.84        4710357.54
8                      37.62        4702302.03
16                     75.67        4729548.53
32                    152.03        4750921.08
64                    291.95        4561668.88
128                   557.41        4354747.53
256                  1092.19        4266360.91
512                  1764.24        3445773.41
1024                 3346.53        3268096.68
2048                 5874.48        2868398.12
4096                 5396.40        1317480.45
8192                 9358.26        1142365.27
16384               15532.48         948027.60
32768               22082.55         673906.00
65536               25732.98         392654.08
131072              27696.38         211306.59
262144              28078.31         107110.27
524288              30172.79          57550.03
1048576             31857.09          30381.29
2097152             28798.53          13732.21
4194304             28793.64           6864.94
