# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.72
2                      17.55
4                      33.98
8                      68.75
16                    135.12
32                    275.12
64                    551.14
128                  1066.78
256                  1886.75
512                  2906.68
1024                 5475.09
2048                 9336.66
4096                 8438.44
8192                13358.26
16384               21902.25
32768               28374.28
65536               31979.59
131072              34281.81
262144              35565.93
524288              36003.20
1048576             36646.41
2097152             35235.36
4194304             35005.25
