# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.50
2                      10.92
4                      22.06
8                      44.22
16                     88.44
32                    176.08
64                    353.58
128                   692.79
256                  1364.11
512                  1805.31
1024                 3568.57
2048                 6361.15
4096                 5522.83
8192                 9765.35
16384               16090.47
32768               23265.01
65536               25584.51
131072              27673.21
262144              30198.04
524288              30822.91
1048576             31422.50
2097152             29047.23
4194304             28978.78
