# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.71        4713529.01
2                       9.48        4737706.50
4                      19.05        4763242.65
8                      38.10        4762687.20
16                     76.87        4804474.05
32                    155.42        4856875.47
64                    298.30        4660874.75
128                   567.12        4430595.14
256                  1112.53        4345834.44
512                  1805.84        3527033.42
1024                 3425.80        3345506.45
2048                 5989.72        2924666.75
4096                 5453.15        1331335.30
8192                 9385.35        1145672.47
16384               15873.21         968823.68
32768               22507.78         686883.05
65536               25768.50         393196.10
131072              27791.17         212029.82
262144              28368.17         108215.97
524288              28626.57          54600.86
1048576             28887.03          27548.82
2097152             28840.37          13752.16
4194304             28766.78           6858.54
