# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.44        7439709.87
2                      14.66        7329066.98
4                      29.84        7459750.86
8                      59.47        7433568.58
16                    119.03        7439354.44
32                    239.80        7493734.54
64                    481.35        7521094.32
128                   918.17        7173189.49
256                  1827.45        7138483.23
512                  3069.23        5994586.14
1024                 5899.26        5760994.52
2048                 9739.70        4755713.49
4096                 8370.08        2043475.52
8192                13661.56        1667670.83
16384               22091.33        1348347.61
32768               28355.68         865346.80
65536               31775.94         484862.42
131072              33360.13         254517.61
262144              34171.12         130352.48
524288              36160.64          68970.95
1048576             36612.01          34915.93
2097152             35407.60          16883.66
4194304             35145.61           8379.37
