# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.79
2                      17.59
4                      34.49
8                      69.91
16                    137.48
32                    276.40
64                    552.94
128                  1078.37
256                  1948.72
512                  2963.07
1024                 5621.96
2048                 8994.27
4096                 8483.36
8192                13618.99
16384               21735.19
32768               28405.09
65536               31912.78
131072              33975.31
262144              34118.86
524288              35894.82
1048576             35058.07
2097152             35353.65
4194304             35092.89
