# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.67        4672558.08
2                       9.38        4691952.43
4                      18.84        4708765.43
8                      37.66        4707481.86
16                     75.87        4741704.54
32                    151.87        4746069.70
64                    296.92        4639428.00
128                   559.83        4373636.19
256                  1093.12        4270017.78
512                  1767.64        3452425.84
1024                 3380.86        3301619.56
2048                 5930.85        2895921.71
4096                 5489.12        1340116.98
8192                 9675.66        1181110.31
16384               15857.69         967876.35
32768               22312.74         680930.82
65536               25779.44         393362.99
131072              27795.20         212060.57
262144              28183.48         107511.45
524288              28541.33          54438.26
1048576             31933.34          30454.01
2097152             28862.88          13762.89
4194304             28825.14           6872.45
