# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.55
2                      10.97
4                      22.09
8                      44.24
16                     88.39
32                    176.87
64                    351.32
128                   692.86
256                  1379.74
512                  1805.78
1024                 3572.11
2048                 6385.49
4096                 5379.82
8192                 9068.38
16384               15564.23
32768               23416.45
65536               26600.06
131072              27660.04
262144              28074.60
524288              28706.25
1048576             28974.04
2097152             31291.07
4194304             29054.09
