# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.32
8                       0.33
16                      0.32
32                      0.30
64                      0.32
128                     0.35
256                     0.34
512                     0.37
1024                    0.40
2048                    0.46
4096                    1.07
8192                    1.34
16384                   1.86
32768                   2.93
65536                   4.39
131072                  7.09
262144                 14.17
524288                 28.25
1048576                56.06
2097152               117.10
4194304               263.27
