# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.31
4                       0.32
8                       0.33
16                      0.33
32                      0.33
64                      0.32
128                     0.34
256                     0.34
512                     0.37
1024                    0.41
2048                    0.47
4096                    1.07
8192                    1.30
16384                   1.86
32768                   2.93
65536                   4.50
131072                  7.21
262144                 14.25
524288                 28.28
1048576                56.22
2097152               118.56
4194304               264.61
