# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.28
4                       0.28
8                       0.30
16                      0.28
32                      0.28
64                      0.28
128                     0.30
256                     0.31
512                     0.34
1024                    0.34
2048                    0.40
4096                    0.79
8192                    1.10
16384                   1.69
32768                   2.76
65536                   4.16
131072                  6.76
262144                 12.81
524288                 25.55
1048576                49.73
2097152               103.34
4194304               258.17
