# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.85
2                      17.68
4                      34.50
8                      69.02
16                    137.23
32                    274.07
64                    552.19
128                  1061.36
256                  1895.67
512                  2905.09
1024                 5493.47
2048                 9356.61
4096                 8513.74
8192                13414.56
16384               21906.51
32768               28368.61
65536               32023.06
131072              33354.76
262144              34169.91
524288              36565.99
1048576             35223.54
2097152             35268.39
4194304             35079.39
