# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.58
2                      11.15
4                      22.14
8                      44.48
16                     89.13
32                    175.75
64                    355.06
128                   699.43
256                  1395.72
512                  1808.02
1024                 3544.39
2048                 6272.11
4096                 5501.86
8192                 9636.22
16384               15969.86
32768               23365.50
65536               26562.24
131072              27821.52
262144              28151.38
524288              29185.98
1048576             31100.58
2097152             28999.88
4194304             29007.41
