# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.48
2                      11.12
4                      22.09
8                      44.86
16                     88.49
32                    176.17
64                    349.23
128                   696.60
256                  1389.80
512                  1812.90
1024                 3589.43
2048                 6389.42
4096                 5583.56
8192                 9965.63
16384               16258.73
32768               23288.15
65536               26505.44
131072              27584.91
262144              28133.16
524288              28606.13
1048576             28878.56
2097152             29110.24
4194304             29045.28
