# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.33
2                       0.33
4                       0.31
8                       0.34
16                      0.31
32                      0.34
64                      0.31
128                     0.35
256                     0.34
512                     0.39
1024                    0.42
2048                    0.46
4096                    1.08
8192                    1.33
16384                   1.88
32768                   2.99
65536                   4.45
131072                  7.07
262144                 14.16
524288                 28.24
1048576                56.07
2097152               118.04
4194304               267.02
