# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.62        4620151.03
2                       9.38        4692157.79
4                      18.75        4688078.68
8                      37.54        4692231.75
16                     75.77        4735428.29
32                    152.17        4755193.01
64                    296.80        4637437.19
128                   561.21        4384425.32
256                  1104.13        4312996.01
512                  1761.12        3439685.91
1024                 3368.18        3289240.38
2048                 5872.37        2867368.74
4096                 5385.77        1314885.57
8192                 9277.69        1132530.09
16384               15447.85         942861.93
32768               22366.62         682575.00
65536               25722.78         392498.41
131072              27696.09         211304.42
262144              28168.34         107453.71
524288              28538.20          54432.30
1048576             28755.60          27423.47
2097152             28813.57          13739.38
4194304             28757.36           6856.29
