# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.83
2                      17.59
4                      34.60
8                      69.49
16                    137.84
32                    276.11
64                    555.38
128                  1080.26
256                  1900.57
512                  2906.15
1024                 5479.01
2048                 9348.83
4096                 8407.38
8192                13458.65
16384               21880.22
32768               28519.21
65536               32001.99
131072              33327.31
262144              34309.33
524288              35952.81
1048576             35218.49
2097152             35310.06
4194304             35118.81
