# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.75
2                      17.38
4                      34.24
8                      68.90
16                    136.67
32                    271.49
64                    551.18
128                  1061.91
256                  1937.16
512                  2837.11
1024                 5595.57
2048                 9042.15
4096                 8347.23
8192                13450.65
16384               21801.87
32768               28324.14
65536               31815.78
131072              34323.27
262144              35828.24
524288              36397.78
1048576             36345.30
2097152             35238.89
4194304             34997.20
