# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.32
2                       0.32
4                       0.31
8                       0.33
16                      0.32
32                      0.34
64                      0.31
128                     0.34
256                     0.35
512                     0.38
1024                    0.39
2048                    0.47
4096                    1.07
8192                    1.34
16384                   1.87
32768                   2.92
65536                   4.45
131072                  7.46
262144                 14.30
524288                 28.39
1048576                56.35
2097152               118.08
4194304               263.25
