# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.27
8                       0.29
16                      0.29
32                      0.28
64                      0.28
128                     0.30
256                     0.31
512                     0.32
1024                    0.32
2048                    0.40
4096                    0.79
8192                    1.11
16384                   1.66
32768                   2.75
65536                   4.17
131072                  6.68
262144                 12.85
524288                 25.60
1048576                49.99
2097152               104.59
4194304               260.60
