# OSU MPI Multiple Bandwidth / Message Rate Test v7.1
# OSU MPI Multiple Bandwidth / Message Rate Test v7.1

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
2                       4.85        2426123.38
4                       9.77        2442661.18
8                      19.65        2456405.55
16                     38.95        2434443.24
32                     79.31        2478568.00
64                    161.55        2524156.32
128                   319.39        2495272.14
256                   634.43        2478245.07
