# OSU MPI Bandwidth Test v7.1
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
2                       4.26
4                       8.59
8                      17.43
16                     35.08
32                     68.71
64                    137.18
128                   274.99
256                   565.04
