# OSU MPI Bandwidth Test v7.1
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
2                       4.26
4                       8.54
8                      17.30
16                     35.35
32                     69.61
64                    137.69
128                   281.26
256                   563.56
