# OSU MPI Multiple Bandwidth / Message Rate Test v7.1
# OSU MPI Multiple Bandwidth / Message Rate Test v7.1

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
2                       4.88        2441388.50
4                       9.81        2453277.21
8                      19.62        2452920.41
16                     39.67        2479484.77
32                     80.21        2506601.75
64                    162.25        2535114.53
128                   310.07        2422448.21
256                   624.95        2441212.43
