# OSU MPI Bandwidth Test v7.1
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
2                       4.98
4                      10.06
8                      19.92
16                     39.99
32                     80.01
64                    162.38
128                   318.80
256                   638.22
